maintenance_id,machine_id,event_datetime,maintenance_type,failure_code,symptom_text,repair_action,downtime_minutes,parts_cost,labor_hours,technician_id,failure_severity,source_system
MT-000137,MCH-017,2025-10-14 14:44:00,emergency,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,230.47,33850.08,10.23,TECH-003,medium,CMMS
MT-000138,MCH-017,2025-12-12 21:39:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,424.28,15836.15,9.22,TECH-005,medium,CMMS
MT-000139,MCH-017,2026-05-08 03:10:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,410.64,10977.81,7.84,TECH-006,medium,CMMS
MT-000140,MCH-018,2025-08-18 20:06:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,162.91,2147.88,4.84,TECH-016,low,CMMS
MT-000141,MCH-018,2025-11-23 09:44:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,63.53,2387.7,2.8,TECH-001,low,CMMS
MT-000142,MCH-018,2026-02-25 15:38:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,73.82,6414.85,5.49,TECH-010,low,CMMS
MT-000143,MCH-018,2026-05-24 08:18:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,57.21,6845.77,3.89,TECH-011,low,CMMS
MT-000144,MCH-018,2025-09-16 19:00:00,emergency,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,550.3,14107.92,5.11,TECH-013,high,CMMS
MT-000145,MCH-018,2026-07-17 10:29:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,428.0,26562.8,17.36,TECH-003,medium,CMMS
MT-000146,MCH-019,2025-10-12 12:53:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,95.53,1253.02,2.41,TECH-011,low,CMMS
MT-000147,MCH-019,2026-01-08 10:31:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,143.22,1611.31,3.41,TECH-006,low,CMMS
MT-000148,MCH-019,2026-04-15 11:44:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,65.86,7379.53,5.39,TECH-001,low,CMMS
MT-000149,MCH-019,2026-07-09 18:43:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,110.13,7994.11,2.21,TECH-006,low,CMMS
MT-000150,MCH-019,2026-06-16 13:19:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,558.25,28578.58,13.11,TECH-017,high,CMMS
MT-000151,MCH-020,2025-09-16 09:14:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,161.93,7331.73,2.63,TECH-005,low,CMMS
MT-000152,MCH-020,2025-12-14 13:38:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,129.5,1333.13,5.06,TECH-005,low,CMMS
MT-000153,MCH-020,2026-03-13 11:36:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,170.51,3766.57,4.35,TECH-006,low,CMMS
MT-000154,MCH-020,2026-06-23 12:30:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,49.37,6985.96,3.81,TECH-018,low,CMMS
MT-000155,MCH-020,2026-01-27 10:39:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,487.48,36265.59,3.13,TECH-012,medium,CMMS
MT-000156,MCH-020,2026-02-19 16:35:00,emergency,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,460.34,44456.2,5.49,TECH-006,high,CMMS
MT-000157,MCH-020,2026-03-16 15:21:00,corrective,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,178.11,21780.92,12.68,TECH-016,medium,CMMS
MT-000158,MCH-020,2026-05-05 02:26:00,corrective,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,629.31,25622.03,8.0,TECH-017,medium,CMMS
MT-000159,MCH-021,2025-09-02 10:54:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,133.3,6817.68,3.84,TECH-003,low,CMMS
MT-000160,MCH-021,2025-11-04 10:28:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,172.1,2397.39,3.18,TECH-011,low,CMMS
MT-000161,MCH-021,2026-01-02 17:54:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,131.85,4254.84,3.96,TECH-002,low,CMMS
MT-000162,MCH-021,2026-03-08 10:53:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,95.94,1204.05,2.11,TECH-002,low,CMMS
MT-000163,MCH-021,2026-04-30 17:48:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,105.4,3448.92,4.27,TECH-009,low,CMMS
MT-000164,MCH-021,2026-06-22 15:06:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,104.55,8459.54,4.61,TECH-004,low,CMMS
MT-000165,MCH-021,2025-11-19 16:22:00,emergency,HYDRAULIC,pressure fluctuation and oil temperature exceeded warning band,replaced hydraulic seal; flushed oil; pressure test completed,780.05,55412.13,6.34,TECH-018,critical,CMMS
MT-000166,MCH-022,2025-10-05 18:44:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,152.56,1439.24,3.92,TECH-005,low,CMMS
MT-000167,MCH-022,2026-01-07 16:38:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,176.93,5013.67,3.2,TECH-001,low,CMMS
MT-000168,MCH-022,2026-04-19 08:14:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,79.68,1498.75,1.63,TECH-001,low,CMMS
MT-000169,MCH-022,2026-07-16 14:49:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,89.3,2269.74,3.23,TECH-018,low,CMMS
MT-000170,MCH-022,2025-12-22 09:00:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,509.25,9843.55,13.94,TECH-014,high,CMMS
MT-000171,MCH-023,2025-09-03 14:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,90.19,3322.2,5.42,TECH-014,low,CMMS
MT-000172,MCH-023,2025-10-31 06:52:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,54.4,7803.41,3.4,TECH-002,low,CMMS
MT-000173,MCH-023,2025-12-31 19:34:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,114.32,5885.75,2.04,TECH-017,low,CMMS
MT-000174,MCH-023,2026-02-26 11:30:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,170.4,5260.04,3.95,TECH-010,low,CMMS
MT-000175,MCH-023,2026-04-23 15:07:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,63.07,1568.13,3.59,TECH-014,low,CMMS
MT-000176,MCH-023,2026-07-04 14:02:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,134.99,1230.86,2.98,TECH-011,low,CMMS
MT-000177,MCH-023,2026-01-26 09:59:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,201.66,22046.22,4.51,TECH-016,medium,CMMS
MT-000178,MCH-024,2025-09-28 15:28:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,50.69,7922.22,4.36,TECH-006,low,CMMS
MT-000179,MCH-024,2025-11-19 15:59:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,45.61,3401.88,2.96,TECH-016,low,CMMS
MT-000180,MCH-024,2026-01-12 06:18:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,56.13,7657.13,5.39,TECH-002,low,CMMS
MT-000181,MCH-024,2026-03-10 15:00:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,114.02,4754.68,1.65,TECH-014,low,CMMS
MT-000182,MCH-024,2026-05-04 06:14:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,102.94,2143.14,3.03,TECH-017,low,CMMS
MT-000183,MCH-024,2026-07-02 18:49:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,106.57,3450.15,3.34,TECH-015,low,CMMS
MT-000184,MCH-024,2025-10-31 13:26:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,130.06,37001.86,8.61,TECH-014,high,CMMS
MT-000185,MCH-024,2026-01-02 10:09:00,corrective,HYDRAULIC,pressure fluctuation and oil temperature exceeded warning band,replaced hydraulic seal; flushed oil; pressure test completed,424.54,10731.28,10.6,TECH-002,high,CMMS
MT-000186,MCH-025,2025-08-19 10:36:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,164.84,7563.32,2.39,TECH-001,low,CMMS
MT-000187,MCH-025,2025-09-25 11:22:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,103.99,5181.3,4.69,TECH-014,low,CMMS
MT-000188,MCH-025,2025-11-17 14:33:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,139.65,5744.0,3.36,TECH-015,low,CMMS
MT-000189,MCH-025,2026-01-10 10:19:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,173.68,6516.33,1.55,TECH-010,low,CMMS
MT-000190,MCH-025,2026-02-25 13:03:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,74.14,2028.63,2.13,TECH-005,low,CMMS
MT-000191,MCH-025,2026-04-19 07:05:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,96.84,8497.06,5.12,TECH-004,low,CMMS
MT-000192,MCH-025,2026-06-06 15:36:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,55.69,6796.47,4.06,TECH-001,low,CMMS
MT-000193,MCH-025,2026-07-29 08:11:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,73.09,7943.72,5.01,TECH-010,low,CMMS
MT-000194,MCH-025,2026-01-30 02:09:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,599.5,19179.58,3.02,TECH-010,high,CMMS
MT-000195,MCH-025,2026-02-28 22:21:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,261.87,26485.84,8.51,TECH-018,critical,CMMS
MT-000196,MCH-025,2026-04-20 14:55:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,490.96,9439.99,4.62,TECH-008,high,CMMS
MT-000197,MCH-025,2026-06-12 20:05:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,497.89,45442.52,13.99,TECH-008,medium,CMMS
MT-000198,MCH-026,2025-08-16 18:15:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,91.76,1234.22,3.53,TECH-009,low,CMMS
MT-000199,MCH-026,2025-10-14 16:34:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,55.69,5248.13,4.96,TECH-006,low,CMMS
MT-000200,MCH-026,2025-12-21 15:41:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,77.47,5347.34,3.86,TECH-015,low,CMMS
MT-000201,MCH-026,2026-02-11 17:00:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,59.92,5993.15,2.96,TECH-013,low,CMMS
MT-000202,MCH-026,2026-04-14 11:01:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,85.36,2661.54,3.8,TECH-008,low,CMMS
MT-000203,MCH-026,2026-06-25 06:03:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,85.82,1289.75,4.26,TECH-003,low,CMMS
MT-000204,MCH-026,2025-09-22 22:53:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,599.74,28257.03,8.9,TECH-002,high,CMMS
MT-000205,MCH-026,2026-04-02 22:08:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,507.52,40371.18,14.82,TECH-003,medium,CMMS
MT-000206,MCH-027,2025-08-16 19:54:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,134.72,2938.81,4.87,TECH-014,low,CMMS
MT-000207,MCH-027,2025-10-19 11:06:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,88.37,6646.78,5.01,TECH-011,low,CMMS
MT-000208,MCH-027,2025-12-11 08:13:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,85.11,3182.7,4.71,TECH-004,low,CMMS
MT-000209,MCH-027,2026-02-19 07:46:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,129.81,8269.2,3.94,TECH-010,low,CMMS
MT-000210,MCH-027,2026-04-24 09:43:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,132.54,7198.66,2.32,TECH-011,low,CMMS
MT-000211,MCH-027,2026-06-21 15:43:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,133.92,7713.84,3.1,TECH-010,low,CMMS
MT-000212,MCH-027,2025-12-21 17:28:00,emergency,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,310.62,8049.18,12.53,TECH-018,medium,CMMS
MT-000213,MCH-028,2025-08-08 19:29:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,147.53,8454.77,3.35,TECH-005,low,CMMS
MT-000214,MCH-028,2025-10-01 12:14:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,162.93,2578.39,4.7,TECH-010,low,CMMS
MT-000215,MCH-028,2025-11-15 14:56:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,121.98,6108.19,3.3,TECH-018,low,CMMS
MT-000216,MCH-028,2026-01-08 15:56:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,105.02,5589.57,1.78,TECH-010,low,CMMS
MT-000217,MCH-028,2026-02-19 19:03:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,90.52,1481.57,5.43,TECH-017,low,CMMS
MT-000218,MCH-028,2026-04-06 11:24:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,138.27,6919.68,5.31,TECH-007,low,CMMS
MT-000219,MCH-028,2026-05-28 13:31:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,71.66,6453.47,3.66,TECH-002,low,CMMS
MT-000220,MCH-028,2026-07-10 10:48:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,134.16,5036.61,4.39,TECH-016,low,CMMS
MT-000221,MCH-028,2025-11-17 16:28:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,632.47,42233.68,15.23,TECH-011,high,CMMS
MT-000222,MCH-028,2025-12-08 12:17:00,emergency,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,655.93,32065.33,12.79,TECH-018,high,CMMS
MT-000223,MCH-028,2026-03-10 04:16:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,308.06,45233.55,13.59,TECH-011,medium,CMMS
MT-000224,MCH-028,2026-04-06 05:16:00,emergency,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,628.18,32194.86,13.09,TECH-016,medium,CMMS
MT-000225,MCH-029,2025-08-15 18:01:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,76.4,2049.07,3.67,TECH-016,low,CMMS
MT-000226,MCH-029,2025-11-23 08:35:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,81.27,4509.61,5.17,TECH-003,low,CMMS
MT-000227,MCH-029,2026-03-04 12:16:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,133.22,7041.2,2.71,TECH-017,low,CMMS
MT-000228,MCH-029,2026-06-09 14:00:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,89.58,2426.16,2.39,TECH-016,low,CMMS
MT-000229,MCH-029,2025-11-17 14:48:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,364.3,34608.31,16.64,TECH-002,medium,CMMS
MT-000230,MCH-029,2026-07-12 13:04:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,232.86,17312.24,16.99,TECH-015,high,CMMS
MT-000231,MCH-030,2025-10-15 11:57:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,142.24,5483.12,4.26,TECH-009,low,CMMS
MT-000232,MCH-030,2025-12-26 14:33:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,159.83,3094.15,5.21,TECH-001,low,CMMS
MT-000233,MCH-030,2026-03-15 10:12:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,162.73,6628.66,2.15,TECH-007,low,CMMS
MT-000234,MCH-030,2026-06-01 14:22:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,111.88,1334.81,5.15,TECH-009,low,CMMS
MT-000235,MCH-030,2025-09-23 02:13:00,corrective,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,160.24,43699.38,12.26,TECH-001,high,CMMS
MT-000236,MCH-030,2025-10-18 11:32:00,corrective,HYDRAULIC,pressure fluctuation and oil temperature exceeded warning band,replaced hydraulic seal; flushed oil; pressure test completed,209.51,40179.55,13.54,TECH-012,medium,CMMS
MT-000237,MCH-030,2025-12-13 05:21:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,585.05,40425.42,10.89,TECH-008,medium,CMMS
MT-000238,MCH-030,2026-06-22 02:32:00,corrective,ELECTRICAL,electrical cabinet alarm and servo reset during high load,tightened terminals; replaced relay; reset servo drive parameters,389.93,22372.23,2.88,TECH-010,high,CMMS
MT-000239,MCH-031,2025-08-08 15:22:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,47.68,7149.14,4.58,TECH-018,low,CMMS
MT-000240,MCH-031,2025-10-11 18:57:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,156.39,4690.48,3.49,TECH-006,low,CMMS
MT-000241,MCH-031,2025-12-15 10:03:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,82.23,1246.36,2.21,TECH-004,low,CMMS
MT-000242,MCH-031,2026-02-16 11:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,161.17,5433.78,3.59,TECH-012,low,CMMS
MT-000243,MCH-031,2026-04-28 11:51:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,136.67,7056.9,3.83,TECH-003,low,CMMS
MT-000244,MCH-031,2026-06-25 15:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,179.81,5852.95,2.79,TECH-012,low,CMMS
MT-000245,MCH-031,2025-09-12 16:10:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,431.92,27816.94,4.96,TECH-003,high,CMMS
MT-000246,MCH-031,2026-04-13 11:01:00,corrective,HYDRAULIC,pressure fluctuation and oil temperature exceeded warning band,replaced hydraulic seal; flushed oil; pressure test completed,126.08,32765.63,6.92,TECH-011,high,CMMS
MT-000247,MCH-031,2026-05-22 19:42:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,402.03,45510.12,12.95,TECH-011,medium,CMMS
MT-000248,MCH-032,2025-08-18 19:27:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,78.19,4244.17,4.28,TECH-004,low,CMMS
MT-000249,MCH-032,2025-10-26 06:25:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,146.79,4935.63,1.67,TECH-002,low,CMMS
MT-000250,MCH-032,2025-12-26 08:52:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,147.81,8482.95,4.01,TECH-006,low,CMMS
MT-000251,MCH-032,2026-03-07 11:05:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,169.03,4293.27,2.15,TECH-009,low,CMMS
MT-000252,MCH-032,2026-05-15 11:18:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,87.63,7853.0,3.64,TECH-007,low,CMMS
MT-000253,MCH-032,2026-07-19 12:02:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,64.08,2587.38,5.24,TECH-015,low,CMMS
MT-000254,MCH-032,2025-12-02 14:18:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,288.74,33985.95,15.3,TECH-013,medium,CMMS
MT-000255,MCH-033,2025-08-25 20:57:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,85.77,1929.68,2.08,TECH-016,low,CMMS
MT-000256,MCH-033,2025-11-21 13:25:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,161.69,6703.16,3.57,TECH-002,low,CMMS
MT-000257,MCH-033,2026-02-22 16:31:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,121.74,5055.82,4.18,TECH-018,low,CMMS
MT-000258,MCH-033,2026-05-26 12:37:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,129.32,1793.4,2.59,TECH-018,low,CMMS
MT-000259,MCH-033,2025-10-22 14:31:00,corrective,HYDRAULIC,pressure fluctuation and oil temperature exceeded warning band,replaced hydraulic seal; flushed oil; pressure test completed,527.17,18439.89,7.42,TECH-003,medium,CMMS
MT-000260,MCH-033,2026-03-05 20:08:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,195.04,38265.45,9.99,TECH-003,medium,CMMS
MT-000261,MCH-033,2026-07-15 02:35:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,398.04,21294.08,6.61,TECH-013,medium,CMMS
MT-000262,MCH-034,2025-10-11 11:17:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,79.99,1591.51,3.29,TECH-011,low,CMMS
MT-000263,MCH-034,2025-12-17 12:28:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,82.99,6605.06,2.85,TECH-011,low,CMMS
MT-000264,MCH-034,2026-03-10 06:47:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,161.33,4673.39,4.9,TECH-007,low,CMMS
MT-000265,MCH-034,2026-06-01 14:56:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,92.63,2818.43,5.16,TECH-005,low,CMMS
MT-000266,MCH-034,2025-11-19 06:13:00,emergency,MOTOR,motor current unstable; intermittent power loss and torque drop,replaced motor controller; tested current load profile,334.23,43690.2,5.66,TECH-006,high,CMMS
MT-000267,MCH-034,2025-12-01 02:14:00,corrective,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,532.98,39037.72,14.82,TECH-005,medium,CMMS
MT-000268,MCH-034,2026-07-17 17:54:00,emergency,HYDRAULIC,pressure fluctuation and oil temperature exceeded warning band,replaced hydraulic seal; flushed oil; pressure test completed,178.98,45882.61,15.59,TECH-012,medium,CMMS
MT-000269,MCH-035,2025-08-06 19:16:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,151.24,7799.83,4.25,TECH-011,low,CMMS
MT-000270,MCH-035,2025-10-07 10:23:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,171.53,3752.55,1.9,TECH-016,low,CMMS
MT-000271,MCH-035,2025-11-30 17:49:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,129.32,5711.6,2.84,TECH-008,low,CMMS
MT-000272,MCH-035,2026-01-29 20:11:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,124.19,2029.88,4.91,TECH-004,low,CMMS
MT-000273,MCH-035,2026-04-02 20:42:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,70.59,3189.01,4.73,TECH-009,low,CMMS
